Afrikaans,English
hy,he
was,was
vir,for
op,on
is,are
met,with
hulle,they
wees,be
op,at
een,one
het,have
hierdie,this
uit,from
deur,by
warm,hot
woord,word
maar,but
wat,what
sommige,some
is,is
dit,it
jy,you
of,or
moes,had
die,the
van,of
te,to
en,and
’n,a
in,in
ons,we
kan,can
uit,out
ander,other
was,were
wat,which
doen,do
hul,their
tyd,time
indien,if
sal,will
hoe,how
gesê,said
’n,an
elke,each
,
vertel,tell
doen,does
stel,set
drie,three
wil,want
lug,air
goed,well
ook,also
speel,play
klein,small
einde,end
sit,put
huis,home
lees,read
hand,hand
hawe,port
groot,large
spel,spell
voeg,add
selfs,even
land,land
hier,here
moet,must
groot,big
hoë,high
sodanige,such
volg,follow
Wet,act
Hoekom,why
vra,ask
mans,men
verandering,change
gegaan,went
lig,light
soort,kind
af,off
nodig,need
huis,house
prentjie,picture
probeer,try
ons,us
weer,again
dier,animal
punt,point
ma,mother
wêreld,world
naby,near
bou,build
self,self
aarde,earth
vader,father
enige,any
nuwe,new
werk,work
deel,part
neem,take
kry,get
plek,place
gemaak,made
lewe,live
waar,where
na,after
terug,back
bietjie,little
slegs,only
ronde,round
man,man
jaar,year
gekom,came
show,show
elke,every
goeie,good
my,me
gee,give
ons,our
onder,under
naam,name
baie,very
deur,through
net,just
vorm,form
vonnis,sentence
groot,great
dink,think
sê,say
help,help
lae,low
lyn,line
verskil,differ
beurt,turn
oorsaak,cause
veel,much
beteken,mean
voor,before
skuif,move
reg,right
seuntjie,boy
ou,old
te,too
dieselfde,same
sy,she
al,all
daar,there
wanneer,when
up,up
gebruik,use
jou,your
manier,way
oor,about
baie,many
dan,then
hulle,them
skryf,write
sou,would
soos,like
so,so
hierdie,these
haar,her
lang,long
maak,make
ding,thing
sien,see
hom,him
twee,two
het,has
kyk,look
meer,more
dag,day
kon,could
gaan,go
kom,come
het,did
aantal,number
klink,sound
geen,no
mees,most
mense,people
my,my
oor,over
weet,know
water,water
as,than
oproep,call
eerste,first
wat,who
mag,may
af,down
kant,side
gewees,been
nou,now
vind,find
